,Newreno,Vegas,
1M,0.06563509303200088,0.06563535835019062,
2M,0.06590740425531502,0.0659080239619872,
3M,0.06628960029728286,0.0662209882652807,
4M,0.06683355551294852,0.06683468660914538,
5M,0.06740510857306364,0.06740766804017652,
6M,0.06772700008011057,0.06764220205004041,
7M,0.06829428026926045,0.06835956525777862,
8M,0.07632644387636278,0.07633670842533163,
9M,0.07316539578822848,0.07670555405089884,
10M,0.18405430597156225,0.0816926469537648,
