,Vegas,Vegas,
1M,0.0,0.0,
2M,0.0,0.0,
3M,6.192717364379489E-5,0.0,
4M,0.0,0.0,
5M,0.0,0.0,
6M,5.605381165919282E-4,4.6151006091932806E-4,
7M,8.741258741258741E-5,5.802483462922131E-4,
8M,0.0,0.0,
9M,0.001768172888015717,0.0,
10M,0.0,0.0,
