,Reno,Reno,
1M,3252.375,2956.565340909091,
2M,2965.1125,2695.556818181818,
3M,2472.509375,2621.6392045454545,
4M,2395.640625,2177.8551136363635,
5M,2118.33125,1925.6164772727273,
6M,1911.153125,1507.4460227272727,
7M,1751.596875,1198.8295454545455,
8M,1317.79375,1197.8551136363637,
9M,778.028125,1192.4261363636363,
10M,547.775,608.3806818181819,
